neighbors,dot,wall,loop,manhatan,path,panic_dist,wall_rate,depth,randomes,probability,Average,Max,Min,WinRate,Time
2,7,6,3,9,10,1,0.1,5,True,0.7,246.4,587,80,0.0,0.037308037499997226
2,7,6,3,9,10,1,0.1,8,True,0.7,322.7,765,55,0.0,1.0116529790999949
2,7,6,3,15,3,1,0.1,3,True,0.7,417.4,728,15,0.0,0.009551924999993845
2,7,6,3,15,3,1,0.1,5,True,0.7,438.8,764,146,0.0,0.07361294579999367
2,7,6,3,15,3,1,0.1,8,True,0.7,373.6,644,148,0.0,1.3404325459000006
2,7,6,3,15,7,1,0.1,3,True,0.7,553.0,799,179,0.0,0.01775340840000581
2,7,6,3,15,7,1,0.1,5,True,0.7,324.0,617,72,0.0,0.049185979199990015
2,7,6,3,15,7,1,0.1,8,True,0.7,234.4,695,44,0.0,0.6921000917000015
2,7,6,3,15,10,1,0.1,3,True,0.7,559.3,952,88,0.0,0.016403745799993884
2,7,6,3,15,10,1,0.1,5,True,0.7,425.7,853,112,0.0,0.07267413329999499
2,7,6,3,15,10,1,0.1,8,True,0.7,298.3,649,32,0.0,0.8024812208000072
2,7,2,7,5,3,1,0.1,3,True,0.7,391.3,732,72,0.0,0.008894891700003882
2,7,2,7,5,3,1,0.1,5,True,0.7,317.7,776,63,0.0,0.06689609999999675
2,7,2,7,5,3,1,0.1,8,True,0.7,221.1,406,44,0.0,0.6065795874999935
2,7,2,7,5,7,1,0.1,3,True,0.7,404.3,743,90,0.0,0.009170670800006064
2,7,2,7,5,7,1,0.1,5,True,0.7,295.0,675,48,0.0,0.04789431250000007
2,7,2,7,5,7,1,0.1,8,True,0.7,350.7,702,64,0.0,1.1455099458000064
2,7,2,7,5,10,1,0.1,3,True,0.7,423.1,718,154,0.1,0.014496170799998254
2,7,2,7,5,10,1,0.1,5,True,0.7,309.2,691,31,0.0,0.05432110000000421
2,7,2,7,5,10,1,0.1,8,True,0.7,385.7,737,23,0.0,1.4622241541000107
2,7,2,7,9,3,1,0.1,3,True,0.7,416.0,921,69,0.0,0.015157191700006933
2,7,2,7,9,3,1,0.1,5,True,0.7,396.4,611,115,0.0,0.06491499579999527
2,7,2,7,9,3,1,0.1,8,True,0.7,330.4,668,56,0.0,1.0227395666999997
2,7,2,7,9,7,1,0.1,3,True,0.7,362.7,813,29,0.0,0.007989687500003128
2,7,2,7,9,7,1,0.1,5,True,0.7,557.9,876,228,0.0,0.09991469999999936
2,7,2,7,9,7,1,0.1,8,True,0.7,279.4,655,39,0.0,0.8903587583999979
2,7,2,7,9,10,1,0.1,3,True,0.7,298.0,708,63,0.0,0.0060509500000080155
2,7,2,7,9,10,1,0.1,5,True,0.7,449.6,830,184,0.0,0.07977817919999097
2,7,2,7,9,10,1,0.1,8,True,0.7,312.7,694,32,0.0,0.9924335250000013
2,7,2,7,15,3,1,0.1,3,True,0.7,280.3,716,71,0.0,0.006446654200010471
2,7,2,7,15,3,1,0.1,5,True,0.7,345.7,612,109,0.0,0.06323283750000427
2,7,2,7,15,3,1,0.1,8,True,0.7,400.0,655,32,0.0,1.7090617124999994
2,7,2,7,15,7,1,0.1,3,True,0.7,229.8,531,23,0.0,0.004691541699992285
2,7,2,7,15,7,1,0.1,5,True,0.7,168.9,386,31,0.0,0.02811407080000663
2,7,2,7,15,7,1,0.1,8,True,0.7,254.2,574,47,0.0,0.8685627250000039
